short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
21,200,EMA,SMA,3.0,2.5,-0.17642760493268952,0.05899744064334949,45.23809523809524,8.165517619975365,42,14,28,50.0,42.86,-0.8799999999999999,EMA21/SMA200,EMA/SMA
21,200,SMA,SMA,1.5,3.0,-0.2735053533255041,-0.01218265130452649,64.1025641025641,6.717352348689484,39,13,26,46.15,73.08,-1.3699999999999992,SMA21/SMA200,SMA/SMA
9,200,SMA,EMA,2.5,2.5,-0.3315959034596517,0.018184733066449674,47.368421052631575,9.218909219392044,76,33,43,48.48,46.51,-1.6600000000000001,SMA9/EMA200,SMA/EMA
50,200,SMA,SMA,1.5,1.5,-0.35665459526262566,-0.1577887211879781,50.0,5.220960273602708,34,11,23,36.36,56.52,-1.7800000000000002,SMA50/SMA200,SMA/SMA
26,200,SMA,SMA,1.5,1.5,-0.36449454588600927,-0.1361810850101787,58.82352941176471,6.792545754188968,34,9,25,55.56,60.0,-1.8199999999999994,SMA26/SMA200,SMA/SMA
20,26,EMA,EMA,1.5,3.0,-0.40755263280174175,0.018795267178976012,56.730769230769226,11.684728370343812,104,52,52,51.92,61.54,-2.04,EMA20/EMA26,EMA/EMA
9,200,EMA,EMA,2.5,2.0,-0.42542773880247753,-0.04391360525287065,45.56962025316456,13.160686462844978,79,33,46,42.42,47.83,-2.12,EMA9/EMA200,EMA/EMA
9,50,EMA,SMA,3.0,3.0,-0.5460474435582683,0.05664657202931216,38.21138211382114,19.39282614723396,123,62,61,33.87,42.62,-2.7300000000000004,EMA9/SMA50,EMA/SMA
20,21,EMA,EMA,3.0,3.0,-0.5470500016281563,0.05155840073469477,37.5,10.144716955848754,120,57,63,36.84,38.1,-2.7399999999999993,EMA20/EMA21,EMA/EMA
9,50,SMA,SMA,3.0,3.0,-0.5528665070386068,0.02217516243785395,40.5940594059406,16.244390224295728,101,49,52,36.73,44.23,-2.77,SMA9/SMA50,SMA/SMA
21,200,SMA,SMA,1.5,2.5,-0.5936139574130266,-0.19108157727853478,60.526315789473685,5.712901169555573,38,13,25,46.15,68.0,-2.9699999999999998,SMA21/SMA200,SMA/SMA
9,200,SMA,SMA,2.5,1.5,-0.6817832985288532,-0.23716234448001422,40.625,11.221696512159616,64,26,38,38.46,42.11,-3.4099999999999997,SMA9/SMA200,SMA/SMA
12,200,EMA,EMA,2.0,3.0,-0.7416799337356565,-0.15211678974379014,52.85714285714286,12.975377264401086,70,31,39,45.16,58.97,-3.710000000000001,EMA12/EMA200,EMA/EMA
